product_id,product_cat,product_brand,product_title,product_price,product_qty,product_desc,product_image,product_keywords
101,4,,Johnston & Murphy,,,,johnston.webp,"Johnston,johnston,johnston&Murphy"
102,4,,Journeys,,,,journeys.png,"journeys,Journeys"
103,2,,Karl Lagerfeld Paris,,,,karl.webp,"karl,karllagerfeldparis,karllagerfeld,Karllagerfeld"
104,2,,Kate Spade New York,,,,kate.webp,"kate,katespade,KateSpade"
149,4,,LACOSTE,,,,LACOSTE.png,"LACOSTE, lacoste"
60,5,,Le Pain Quotidien,,,,LePain.webp,"Le,le"
106,4,,Lids,,,,lids.webp,"lids,Lids"
151,4,,Lids Second Location,,,,lids-second-location.png,"Lids,lids, Lidssecondlocation"
107,2,,Loft,,,,loft.webp,"Loft,loft"
108,4,,Louis Vuitton,,,,louis.webp,"louisvuitton,louis,LouisVuitton"
109,4,,Lululemon,,,,lulu.webp,"lululemon,Lululemon"
110,4,,Macy's,,,,macys.webp,"Macys,macys"
111,2,,Madewell,,,,madewell.webp,"Madewell,madewell"
61,5,,Maoz Vegetarian,,,,maoz.webp,"maoz,Maoz"
112,4,,MCM,,,,mcm.webp,"MCM,mcm"
62,5,,Melt Shop,,,,melt.webp,"Melt,melt"
113,4,,Michael Kors,,,,mk.webp,"MichealKors,michaelkors,michael,Michael,mk,MK"
114,4,,minimL,,,,mini.webp,"minimL,miniml,mini"
158,1,,Montblanc,,,,montblanc.png,"montblanc,Montblanc"
115,4,,Moose Knuckles,,,,moose.png,"MooseKnuckles,Mooseknuckles,mooseknuckles"
116,4,,Neiman Marcus,,,,neiman.webp,"NeimanMarcus,neimanmarcus,Neiman"
63,5,,Neiman Marcus Cafe,,,,marcus.webp,"Neiman,neiman,marcus,Marcus"
117,4,,Newbury Comics,,,,newbury.webp,"NewburyComics,newburycomics,newbury,Newbury"
118,4,,Nordstorm,,,,nordstorm.webp,"Nordstorm,nordstorm"
64,5,,Nordstorm Grill,,,,nordstorm.webp,"Nordstorm,nordstorm"
163,1,,Nordstrom Espresso Bar,,,,NORDSTROM2.png,"Nordstrom,nordstrom,nordstromespresso"
119,2,,NYDJ,,,,nydj.webp,"Nydj,nydj,NYDJ"
120,4,,Oak + Fort,,,,oak.webp,"oak,oakfort"
121,4,,Oakley,,,,oakley.webp,"oakley,Oakley"
65,5,,Osteria Morini,,,,osteria.webp,"Osteria,osteria"
122,4,,PacSun,,,,pacsun.png,"pacsun,Pacsun"
66,5,,Patsy's Pizzeria,,,,patsys.webp,"Pizzeria,pizzeria"
123,2,,Pink,,,,pink.webp,"pink,Pink"
67,5,,Pinkberry,,,,pinkberry.webp,"Pinkberry,pinkberry"
167,1,,Quails,,,,quails.png,"Quails,quails"
124,2,,Rebecca Taylor,,,,rebecca.webp,"Rebecca,rebecca,RebeccaTaylor"
68,5,,Red Mango,,,,redmango.webp,"Mango,mango,red,Red"
125,2,,Rituals,,,,rituals.webp,"Rituals,rituals"
126,2,,Royals Boutique,,,,royals.webp,"Royals,RoyalsBoutique,royals,royalsboutique"
127,2,,Sabon,,,,sabon.webp,"Sabon,sabon"
69,5,,Sarku Japan,,,,sarku.webp,"sarku,Sarku"
70,5,,Seasons 52,,,,season.webp,"season,Season"
128,4,,Skechers,,,,skechers.webp,Skechers
71,5,,Small Batch,,,,small.webp,"small,Small"
82,3,,Spencer Gifts,,,,spencer.webp,"spencer,Spencer"
129,2,,Steve Madden,,,,steve.webp,"Steve,stevemadden,SteveMadden"
169,1,,Suitsupply,,,,SUITSUPPLY.png,"Suitsupply,suitsupply"
72,5,,Sushi Fuji,,,,sushi.webp,"Sushi,sushi"
170,1,,Swarovski Crystal,,,,SWAROVSKI.png,"Swarovski,swarovski,swarovskicrystal"
73,5,,Taco Bell,,,,taco.webp,"Taco,taco"
74,5,,The Capital Grille,,,,capital.webp,"Capital,capital"
75,5,,The Little Beet,,,,little.webp,"Little,little"
130,4,,Tilly's,,,,tillys.webp,"tillys,Tillys"
131,2,,Tory Burch,,,,tory.png,"ToryBurch,toryburch,Tory,tory"
172,1,,Tourneau,,,,BUCHERER.png,"Tourneau,tourneay"
76,5,,True Food Kitchen,,,,truefood.webp,"True,true"
132,4,,Tumi,,,,tumi.webp,"Tumi,tumi"
133,4,,UGG,,,,ugg.webp,"ugg,UGG"
134,4,,Uniqlo,,,,uniqlo.webp,"Uniqlo,uniqlo"
135,4,,UNTUCKit,,,,untuck.webp,"untuckit,untuck,Untuckit"
136,4,,Urban Outfitters,,,,urban.webp,"urban,Urban,UrbanOutfittes,urbanoutfitters"
137,4,,Vans,,,,vans.webp,"Vans,vans"
138,2,,Vera Bradley,,,,vb.webp,"Vera,vera,Verabradley,VeraBradley"
139,2,,Victoria's Secret ,,,,vs.webp,"Victorias,victorias,Victoriassecret,victoriassecret"
140,4,,Vince,,,,vince.webp,"Vince,vince"
77,5,,Wendy's,,,,wendy.webp,"wendy,Wendy"
141,2,,White House Black Market,,,,white.webp,"white,whitehouse,whitehouseblack,whitehouseblackmarket,White"
142,4,,Zara,,,,zara.webp,"Zara,zara"
143,4,,Zumiez,,,,zumiez.png,"Zumiez,zumiez"
